# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
118,24667.761,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,535.600,1977.751,-74.852
119,24854.503,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,427.245,2214.372,-77.470
120,25002.911,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,477.381,2009.285,12.414
121,25002.914,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,477.381,2009.285,12.414
122,25044.762,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,408.439,2256.450,-81.718
123,25198.689,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,398.925,2020.944,1.489
124,25198.692,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,398.925,2020.944,1.489
125,25346.203,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,384.196,2010.818,-0.964
126,25346.205,-,0005A283,0005A285,heavy,0,1,3.00,3,0,12,64,7,384.196,2010.818,-0.964
127,27003.062,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,942.524,1775.998,-73.961
128,27003.065,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,942.524,1775.998,-73.961
129,27179.938,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,949.639,1788.819,-74.879
130,27179.941,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,949.639,1788.819,-74.879
131,27364.875,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,966.204,1799.591,-0.500
132,27364.877,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,966.204,1799.591,-0.500
133,27635.928,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,951.841,1800.276,-74.315
134,27635.931,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,951.841,1800.276,-74.315
135,27893.063,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,963.738,1806.184,15.461
136,27893.065,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,963.738,1806.184,15.461
