# What vanilla's own impact system played during this take.
#
# One row per collision the ragdoll path resolved to a sound, observed at the
# moment of the play rather than modelled afterwards. Times share this take's
# clock: the same t_ms the impacts CSV stamps.
#
# descriptor      the SNDR that fired - the name its wav files are found under
# branch          light = SNAM, heavy = NAM1. Vanilla's own loudness decision,
#                 which it makes on (NAM1 exists && magnitude >= threshold)
# heard           1 = it sounded, 0 = we dropped it and played ours instead
# static_atten_db the descriptor's fixed attenuation, in dB
# db_variance     +/- dB the audio engine rolls per play. NOT the roll itself
# files           how many wavs the descriptor picks between, uniformly
#
# What is deliberately absent: which of `files` was drawn, and what
# db_variance and freq_variance actually rolled. Both happen inside
# BSAudioManager after the sound handle is built and are not readable from
# outside it. A row says "one of N files, at this level, plus or minus this
# much" - it does not say which one, and anything reading it must not pretend
# otherwise.
seq,t_ms,descriptor,descriptor_id,impact_id,branch,heard,sound_level,static_atten_db,db_variance,freq_shift,freq_variance,priority,files,pos_x,pos_y,pos_z
143,15331.002,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-870.244,11.132,-319.650
144,15441.049,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-879.934,18.359,-318.000
145,15667.095,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-881.691,-18.244,-319.650
146,15667.100,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-881.691,-18.244,-318.000
147,15831.153,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-878.354,-18.282,-319.650
148,15831.159,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-878.354,-18.282,-318.000
149,16006.525,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-877.672,-13.214,-319.650
150,16006.530,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-877.672,-13.214,-318.000
151,16162.503,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-854.945,-30.718,-318.000
152,16223.283,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-856.769,-34.833,-319.650
153,16577.051,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-898.302,8.689,-318.000
154,16645.625,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-910.051,12.707,-319.650
155,16801.905,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-897.693,46.447,-318.000
156,16822.419,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-898.150,51.374,-319.650
157,16996.492,-,00079AF0,00079AF3,light,0,1,3.00,4,0,10,64,4,-861.322,14.482,-319.650
158,16996.496,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-861.322,14.482,-318.000
159,17308.422,-,0005A284,0005A285,light,0,1,3.00,3,0,12,64,4,-879.855,31.170,-318.000
