cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation4-s01.wav,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation4.wav",short,23,116,93,surf_wood,1.0,satellite @522ms -31dB
heavy_thud_on_old_creaking_wooden_boards_hollow_b_variation4-s02.wav,"Firefly_audio_heavy_thud_on_old_creaking_wooden_boards,_hollow_b_variation4.wav",short,106,528,422,surf_wood,1.0,satellite @522ms -31dB
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1-s01.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1.wav,short,58,196,138,gore_wet,0.95,
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1-s02.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1.wav,short,186,484,298,gore_wet,0.95,
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1-long.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation1.wav,long,58,484,426,gore_wet,0.95,
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2-s01.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2.wav,short,238,400,162,gore_wet,0.83,
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2-s02.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2.wav,short,390,560,170,gore_wet,0.83,
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2-long.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation2.wav,long,238,560,322,gore_wet,0.83,
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3-s01.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3.wav,short,30,162,132,gore_wet,0.96,satellite @358ms -33dB; satellite @614ms -22dB; satellite @676ms -28dB
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3-s02.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3.wav,short,152,294,142,gore_wet,0.96,satellite @358ms -33dB; satellite @614ms -22dB; satellite @676ms -28dB
heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3-long.wav,Firefly_audio_heavy_wet_slap_of_soaked_cloth_and_raw_meat_torn_a_variation3.wav,long,30,294,264,gore_wet,0.96,satellite @358ms -33dB; satellite @614ms -22dB; satellite @676ms -28dB
hitmarker_sound_single_short_crack_tap_critical_variation1-s01.wav,"Firefly_audio_hitmarker_sound,_single_short_crack_tap,_critical__variation1.wav",single,20,480,460,imp_transient,0.99,
hitmarker_sound_single_short_crack_tap_critical_variation2-s01.wav,"Firefly_audio_hitmarker_sound,_single_short_crack_tap,_critical__variation2.wav",single,99,226,127,imp_transient,0.61,
leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2-s01.wav,Firefly_audio_leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2.wav,short,44,320,276,imp_body,0.95,
leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2-s02.wav,Firefly_audio_leg_of_raw_meat_dropped_flat_onto_a_bare_wooden_fl_variation2.wav,short,650,972,322,imp_body,0.95,
light_quick_tap_of_a_forearm_against_a_hard_floor_variation1-s01.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation1.wav",short,26,160,134,limb_tap,0.89,
light_quick_tap_of_a_forearm_against_a_hard_floor_variation1-s02.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation1.wav",short,192,580,388,limb_tap,0.89,
light_quick_tap_of_a_forearm_against_a_hard_floor_variation1-s03.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation1.wav",short,842,946,104,limb_tap,0.89,
light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s01.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",short,8,196,188,limb_tap,0.91,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s02.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",short,266,438,172,limb_tap,0.91,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
