cut,source,kind,in_ms,out_ms,len_ms,inferred_slot,corr,note
light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s03.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",short,506,682,176,limb_tap,0.91,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
light_quick_tap_of_a_forearm_against_a_hard_floor_variation2-s04.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation2.wav",short,739,928,189,limb_tap,0.91,satellite @190ms -27dB; satellite @432ms -28dB; satellite @676ms -32dB
light_quick_tap_of_a_forearm_against_a_hard_floor_variation3-s01.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation3.wav",short,33,602,569,limb_tap,0.96,satellite @716ms -27dB
light_quick_tap_of_a_forearm_against_a_hard_floor_variation3-s02.wav,"Firefly_audio_light_quick_tap_of_a_forearm_against_a_hard_floor,_variation3.wav",short,590,722,132,limb_tap,0.96,satellite @716ms -27dB
loose_fabric_and_a_heavy_limb_slumping_to_rest_on_variation3-s01.wav,Firefly_audio_loose_fabric_and_a_heavy_limb_slumping_to_rest_on__variation3.wav,short,62,312,250,settle_rest,0.99,
loose_fabric_and_a_heavy_limb_slumping_to_rest_on_variation3-s02.wav,Firefly_audio_loose_fabric_and_a_heavy_limb_slumping_to_rest_on__variation3.wav,short,301,678,377,settle_rest,0.99,
naked_body_sliding_along_gorund_close_mic_dry_st_variation3-loop.wav,"Firefly_audio_naked_body_sliding_along_gorund,_close_mic,_dry_st_variation3.wav",loop,0,1000,1000,scrape_loop,0.9,scrape_loop; window swept for seam
naked_body_sliding_along_gorund_close_mic_dry_st_variation3-long.wav,"Firefly_audio_naked_body_sliding_along_gorund,_close_mic,_dry_st_variation3.wav",long,28,936,908,scrape_loop,0.9,"scrape_loop; full take, not seam-matched"
naked_body_sliding_along_ground_dense_continuous_variation3-loop.wav,"Firefly_audio_naked_body_sliding_along_ground,_dense_continuous__variation3.wav",loop,2280,4288,2008,scrape_loop,0.91,scrape_loop; window swept for seam
naked_body_sliding_along_ground_dense_continuous_variation3-long.wav,"Firefly_audio_naked_body_sliding_along_ground,_dense_continuous__variation3.wav",long,0,9978,9978,scrape_loop,0.91,"scrape_loop; full take, not seam-matched"
naked_body_sliding_and_scraping_along_ground_dens_variation1-loop.wav,"Firefly_audio_naked_body_sliding_and_scraping_along_ground,_dens_variation1.wav",loop,3320,5328,2008,scrape_loop,0.91,scrape_loop; window swept for seam
